judul,sumber,tanggal,episode,label_leksikon,label_audit
HNSI Kepri Minta Pemerintah Kaji Ulang Penerapan Tambang Pasir Laut,Ulasan.co,2024-10-04 07:00:00,E3_ekspor_dibuka,menolak,
Polemik Tambang Pasir Laut: Sebabkan Abrasi dan Pulau Tenggelam - kumparan.com,Kumparan.com,2023-09-15 07:00:00,E1_pp_disahkan,menolak,
Politisi PKS Desak Pemerintah Batalkan Izin Ekspor Pasir Laut,Fraksi PKS,2024-09-19 07:00:00,E3_ekspor_dibuka,menolak,
"Diprotes Susi Pudjiastuti, Gerindra Minta Pemerintah Tunda Rencana Ekspor Pasir Laut",FAJAR,2024-09-22 07:00:00,E3_ekspor_dibuka,menolak,
"Hanya Tiga Perusahaan Resmi Tambang Pasir di Bintan, Selain Itu Illegal",Riaukepri.com,2026-02-12 08:00:00,E4_pasca_putusan_ma,netral,
"Cegah Penambangan Pasir Laut, Polsek Cukuh Balak Lakukan Ini - radarlampung.disway.id",Radar Lampung,2023-03-16 07:00:00,E0_sebelum_pp,netral,
"Jangan Kaget! Jokowi Restui Ekspor Pasir, Begini Aturannya",CNBC Indonesia,2023-05-24 07:00:00,E1_pp_disahkan,netral,
"Proyek Reklamasi Singapura Butuh Pasir Laut Negara Tetangga, Nasib RI Bagaimana? - kumparan.com",Kumparan.com,2023-06-03 07:00:00,E1_pp_disahkan,netral,
"Belum Ada PKKPRL untuk Pemanfaatan Hasil Sedimentasi di Kepri, Titik Lokasi Pasti Pemanfaatan Hasil Sedimentasi Sedang Dikaji",Batam Pos,2024-10-02 07:00:00,E3_ekspor_dibuka,netral,
"Malaysia Tangkap 2 WNI terkait Pengerukan Pasir Pantai Ilegal, Simak Kasusnya",Kompas.com,2026-04-21 07:00:00,E4_pasca_putusan_ma,netral,
Jokowi dihujani protes usai membuka kembali keran ekspor pasir laut,CNA.id,2024-09-19 07:00:00,E3_ekspor_dibuka,menolak,
KKP Amankan Kapal Berbendera Belanda yang Angkut Pasir Laut di Perairan Jakarta,20detik,2023-10-29 07:00:00,E1_pp_disahkan,netral,
"Tolak Tambang Pasir Laut untuk Bangun Tanggul Semarang, Warga Pesisir Demak Gelar Aksi Diam",Tempo.co,2023-07-19 07:00:00,E1_pp_disahkan,menolak,
Pengelolaan Hasil Sedimentasi Laut: Demi Perusahaan atau Nelayan?,betahita.id,2023-10-27 07:00:00,E1_pp_disahkan,netral,
"MA Larang Ekspor Pasir Laut, PP 26/2023 Bertentangan dengan UU Kelautan",Kompas.com,2025-06-26 07:00:00,E4_pasca_putusan_ma,netral,
